genes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,treatment1,treatment2,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,treatment9,treatment10
gene11393,0,13,0,0,0,0,0,75,0,4,412,139,25231,160,0,25,0,17275,2223,0
gene11394,0,0,0,0,0,109,0,0,1,856,0,0,0,0,0,0,0,0,0,0
gene11395,0,5,24,1,0,0,37,0,8,0,0,1,2,7080,0,1,26,0,1529,98
gene11396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11397,1,3,0,0,34,0,11,1,0,2,0,1,2,0,3,0,1,2,0,0
gene11398,38,0,0,0,0,0,0,0,6381,0,2,0,0,0,1,3,0,3,4,6
gene11399,0,8704,150,0,43462,5520,18414,0,0,0,0,0,0,1,0,0,0,0,0,0
gene11400,0,0,1,0,76,1,3,1,0,0,221,645,25,0,0,0,0,0,0,0
gene11401,2,28978,36157,12,0,47,18979,3726,0,0,1,0,0,0,0,1,1,0,1,0
gene11402,10,1,2,1,0,0,1,9,15,70,331,4,431,30083,1574,2,1,665,1349,395
gene11403,1,0,155,0,34,0,0,96,12,0,13,2737,0,59,8,16,132,0,37,0
gene11404,0,0,1168,0,3752,0,0,0,0,5554,0,0,0,1,0,0,2,0,0,0
gene11405,0,2,0,0,1,0,0,1,1,0,1,0,3,1,0,4,4,0,0,4
gene11406,3,13,1,34,1,18,12,19,5,0,0,0,0,0,0,0,0,0,0,0
gene11407,14,6,142,12,0,1,14,587,122,34,0,0,0,8,1,0,6,0,1,1
gene11408,0,0,1,0,0,0,0,0,0,0,10,8,9,7,1,2,3,3,2,4
gene11409,0,0,0,0,0,0,0,0,0,0,4,2,0,1,3,11,7,1,1,1
gene11410,0,283,0,92,0,0,0,0,0,0,19,3,14,21,6,20,14,12,5,12
gene11411,0,6,2,0,0,0,1,0,0,2,0,0,0,0,353,0,900,0,0,0
gene11412,7,3,0,7,1,1,0,5,0,0,9,2,6,13,19,9,11,4,9,0
gene11413,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11414,0,0,1,0,0,1,0,1,1,0,0,0,0,0,2,1,1,0,0,0
gene11415,5,1,2,0,2,0,0,0,1,3,77,2,1805,0,39,0,0,0,0,156
gene11416,0,0,0,0,0,2,1,0,0,1,1,2,9,5,0,2,1,4,1,0
gene11417,148,117,140,2,48,1,26,72,111,28,1,0,0,3,0,1,0,0,0,0
gene11418,101,10,54,1,0,68,1,16,185,42,0,0,0,0,0,0,0,0,0,0
gene11419,0,0,0,0,0,0,0,0,0,0,12046,5,0,482,0,0,0,0,2,0
gene11420,0,0,9264,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene11421,16,103,1,0,0,5,4,41,0,11,0,0,0,0,1978,0,0,3,0,0
gene11422,0,1,3,1,0,1,26,9,0,3,9,11,0,2,1,1,1,1,13,0
gene11423,884,739,276,823,139,360,116,1369,33,124,0,0,0,0,0,0,0,0,0,0
gene11424,2,1,0,2,2,0,0,0,4,0,21,24,21,27,28,25,0,15,14,1
gene11425,0,0,0,0,0,0,0,0,0,0,2,1591,2661,0,19208,3878,22155,2276,2483,21992
gene11426,4,3,0,14,0,2,5,10,1,0,0,0,2259,743,0,0,0,0,2,0
gene11427,0,0,0,0,0,0,0,0,0,0,0,52,0,38250,69,255594,0,376,0,0
gene11428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11429,0,0,0,0,0,0,3,0,2,0,1,8,7,10,0,0,0,1,0,64
gene11430,0,0,0,0,0,0,0,1,1,0,0,49,551,12,9,643,51,0,675,627
gene11431,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
gene11432,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,3,1
gene11433,0,0,0,0,0,0,1,0,0,0,0,58,0,18,0,2,1,0,0,2
gene11434,0,0,2,0,0,0,0,3,1,2,0,0,925,0,0,0,0,0,0,0
gene11435,0,0,0,0,0,0,0,0,0,0,0,0,4606,0,0,0,0,0,0,0
gene11436,0,0,0,0,0,0,0,0,0,1,3,7,5,27,35,16,5,0,0,0
gene11437,0,0,0,0,0,0,0,1,0,1,1,2,3,2,1,1,1,1,2,10
gene11438,47219,2451,0,54,0,1205,0,6974,0,2,0,0,0,0,0,0,0,0,1,0
gene11439,1,1,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
gene11440,1,1,1,7,2,4,2,5,0,0,0,0,1,0,0,0,0,0,0,0
gene11441,0,0,0,3894,382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11442,0,0,1,0,0,1,0,0,1,1,0,0,4,0,8,0,7,1,0,0
gene11443,0,0,0,3038,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11444,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene11445,1,0,0,0,1,1,0,0,0,2,3,0,1,0,0,0,2,0,0,0
gene11446,896,6,0,0,3,0,0,0,3,0,0,2298,0,0,770,246,686,408,1,0
gene11447,1,3,0,4,1,0,0,0,4,0,7,6,73,0,0,21,43,0,0,0
gene11448,1,3,2,0,0,0,0,1,15,5,0,0,5,0,1,0,0,150,27,0
gene11449,1,11,24,6,1,0,0,1,0,3,2,0,0,1,0,0,0,1,1,2
gene11450,0,2,0,0,0,0,0,32287,0,0,51,11360,0,26257,1915,999,0,21,0,0
gene11451,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
gene11452,2,0,0,0,0,0,0,0,0,1,51,795,0,0,993,7547,2386,1,0,176
gene11453,104,38,0,16,526,177,12,0,9689,293,2,2,1,7,10,0,2,0,0,0
gene11454,24,7,0,4,0,21,8,28,0,0,0,0,0,0,0,0,0,0,0,0
gene11455,1,0,0,0,1,4,9,0,4,0,0,0,1,0,0,0,0,0,0,1
gene11456,209,0,0,6,197,72,0,37,400,0,284,9,33,0,617,27,31682,5253,9,2245
gene11457,0,0,0,0,0,0,0,0,0,0,0,293,0,478,0,270,155,0,0,0
gene11458,25,2,6,7,20,173,419,9,3,85,0,0,0,0,0,0,12,0,0,0
gene11459,0,0,0,0,21,0,0,0,0,0,0,0,36,1,0,3,7,0,0,27
gene11460,7,0,4,17,1,4,0,0,0,1,0,1225,0,0,0,1475,0,0,0,0
gene11461,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,2,0
gene11462,378,6,7,0,0,0,0,263,0,0,0,32,0,0,0,7538,0,0,0,0
gene11463,0,0,0,0,0,10,0,0,0,236,0,932,61,45,721,0,1926,1500,170170,2335
gene11464,0,0,10,62045,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0
gene11465,0,1,2,3,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0
gene11466,2,0,0,6,0,0,0,4,35,0,0,10,7,0,0,2,0,0,4,5
gene11467,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
gene11468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0
gene11469,514,0,0,0,77,412,4,4,0,314,0,4,4,1,1,1,2,5,0,0
gene11470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11471,14,7,1,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene11472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11473,5,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
gene11474,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
gene11475,6,1,0,0,3,1,0,0,1,1,2,0,0,0,3,0,0,1,0,1
gene11476,0,0,0,1,1,0,0,0,1,1,3,0,0,69,7,338,0,25,219,282
gene11477,37,28,0,29,0,2,8,1,2,6,0,0,1,1,0,1,0,0,1,0
gene11478,30,247,0,2688,0,0,0,2579,1813,981,0,0,0,1,0,0,0,0,0,0
gene11479,1,0,2,7,0,2,0,0,2,1,0,0,0,0,0,1,0,1,0,0
gene11480,0,6,0,1,5,73,0,7,1,16,0,0,0,0,0,0,0,0,1,0
gene11481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gene11482,0,0,0,1,0,0,0,0,0,0,5,1,3,3,0,1,2,6,0,1
gene11483,0,0,0,0,0,0,0,0,0,0,53,31,129,65,313,140,3,390,86,20
gene11484,0,175,0,0,31,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0
gene11485,0,8,40257,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,2596
gene11486,0,0,0,0,0,0,0,0,0,0,0,3,0,0,667,2,0,0,18,45
gene11487,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,1061,336,743
gene11488,0,0,0,0,0,181,0,287,2,0,0,0,10,0,0,0,0,0,1957,52
gene11489,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11490,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,989,53,0,0,11
gene11491,2,0,0,0,16,0,0,5,0,9,28,0,30,10,78,17,49,25,32,28
gene11492,65,76,0,17,0,108,37,13,39,0,0,1,0,0,0,0,0,0,0,0
gene11493,6,0,0,21,27,22,18,15,5,1,0,0,1,0,0,0,0,0,0,0
gene11494,0,0,0,0,6576,0,0,0,0,0,0,9225,0,0,0,281,0,0,432,0
gene11495,23,0,7,28,0,36,86,5,25,20,10,0,1642,2200,146,179,710,1482,180,0
gene11496,0,0,0,0,0,0,9165,1,0,0,0,1,1,2,2,0,1,0,1,0
gene11497,3,6,3,2,2,4,1,0,1,0,0,0,8,0,1,2,0,0,0,2
gene11498,1,5,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0
gene11499,16,28,138,0,272,285,4610,46,0,15,0,0,0,103,0,0,0,457,131,526
gene11500,1,2,1,1,2,0,0,0,0,1,0,0,1,0,1,1,15,31,0,3
gene11501,139,3,0,0,0,0,0,83,0,0,4,0,0,1,0,0,0,3,0,1
gene11502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene11503,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gene11505,0,0,1,0,0,0,0,0,1,0,0,0,14,2,4,0,0,6,0,0
gene11506,1,0,0,1,2,0,2,0,1,1,0,85,0,0,0,676,91,321,0,1542
gene11507,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene11508,0,0,13,1,0,0,0,0,0,2192,10,0,1,0,0,1,6,3,2,5
gene11509,23,13,53,0,27,51,2,5,42,5,0,0,0,0,0,0,0,0,0,0
gene11510,0,3,0,0,0,1,0,0,1,0,0,2313,296,0,777,4544,0,54,0,0
gene11511,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
gene11512,1,9,289,4223,5,2714,2494,0,323,1,0,0,0,0,0,0,0,0,0,0
gene11513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,1,1,0
gene11514,262,60,273,27,0,3,0,0,73,0,0,0,0,0,1,0,0,0,0,0
gene11515,89,412,294,0,1,0,14,646,152,2,0,5,10,0,9,0,0,9,0,1
gene11516,436,121,310,237,225,219,390,297,235,270,0,0,1379,0,6,4107,0,0,1,0
gene11517,0,0,0,0,0,0,247,0,0,12708,0,1057,7547,33360,1,0,65006,0,0,33129
gene11518,0,0,0,0,0,0,0,0,0,1,4,2,3,0,0,0,0,0,1,1
gene11519,18,194,0,1,0,1,11,30,0,0,1,0,0,0,0,0,0,0,0,0
gene11520,165,0,0,0,0,0,0,110,122,0,0,4,0,0,6,0,2,1,1,0
gene11521,0,0,0,0,2,1,0,0,1,1,0,36539,0,0,0,251,5,0,0,0
gene11522,3,0,0,1,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0
gene11523,2,0,2,0,2,0,4,0,1,0,87,121,149,58,88,60,99,441,636,5
gene11524,0,0,219,0,940,0,0,0,1,0,192,0,483,1428,3,0,0,0,0,0
gene11525,0,0,0,0,0,0,738,0,0,1412,2,6,8,16,0,0,42,68,41,4
gene11526,11,2338,89,0,0,0,168,14,0,908,0,0,0,0,1,0,593,0,0,0
gene11527,1972,1868,0,93,1,6073,0,294,0,0,0,0,1,0,3,2,10,0,1,1
gene11528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gene11529,154767,0,0,64,0,31,0,2,0,82331,0,26,1550,52,20,132,284,487,103,341
gene11530,7980,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0
gene11531,0,4112,4,0,0,677,257,963,4,7,0,3,34,32,2,13,3,0,1,0
gene11532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11533,0,1,3,0,2,3,3,16,3,8,0,15,1263,76,0,11,0,0,0,0
gene11534,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
gene11535,0,6,0,1,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
gene11536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11537,50,33,0,38,2,5,21,5,0,38,0,0,0,1689,453,0,0,0,0,0
gene11538,1,0,2,0,41,1,4,24,1,0,0,0,0,71,6,30,0,0,520,0
gene11539,0,78,2,4624,5716,0,142,6,9,0,38,14,0,0,1558,1,0,0,0,0
gene11540,5739,0,0,4310,0,16013,0,0,1062,98968,0,0,0,0,37,34,0,0,0,0
gene11541,0,0,0,0,0,0,0,0,0,0,56017,0,0,0,0,0,0,854,3,0
gene11542,185,2,10,23,5,1694,0,4,5462,146,0,0,0,0,0,0,614,0,0,0
gene11543,1,23,0,9,0,7,4,10,0,27,1497,2631,388,1203,1017,2072,3,101,1055,1358
gene11544,13,1,0,0,0,24,34,4,4,39,0,0,0,0,0,1,0,0,0,1
gene11545,0,3,1,3,0,0,10,14,0,5,0,0,113,0,0,0,0,0,0,250
gene11546,0,0,2,0,0,0,0,83851,351,2,0,3,0,0,0,1,0,2,0,0
gene11547,0,0,0,0,29,0,0,1180,0,0,0,0,0,0,1,0,0,0,0,0
gene11548,216576,8205,20075,34027,5649,12491,59,397,74148,200,0,0,0,0,0,0,0,0,0,0
gene11549,0,0,0,0,0,0,0,0,0,0,8669,241,187,76,38,8231,0,773,541,1760
gene11550,0,0,0,0,0,0,0,0,0,1,0,0,7971,0,0,0,0,4,0,0
gene11551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11552,0,3,1,3,1,6,2,4,1,55,1,0,1,0,0,1,1,0,0,0
gene11553,0,0,0,0,0,0,0,0,0,0,0,0,396,0,54,195,0,6048,6099,7
gene11554,4,3,1,0,0,4,3,1,10,5,0,0,0,0,0,0,0,0,0,0
gene11555,26,0,26,4,0,1,3,0,0,3,75,1,261,0,70,0,4,0,128,25
gene11556,1,0,0,21,8,13,0,0,0,7,0,0,0,0,0,0,0,0,0,0
gene11557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gene11558,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
gene11559,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
gene11560,3,0,0,0,12,0,0,0,656,0,6,0,0,6,0,4,13,2,0,62
gene11561,0,0,0,0,0,0,0,0,0,0,222,0,0,0,2,743,6294,0,0,57
gene11562,699,0,495,7,0,159,10433,0,8,178,0,0,0,0,0,0,0,0,0,0
gene11563,8,27,32,5,16,21,0,0,2,0,33,4,3,0,3,4,6,9,0,22
gene11564,0,2,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1
gene11565,0,2,0,1,0,0,0,0,0,0,8,0,0,89,39,0,1,0,0,3
gene11566,0,3502,0,105888,0,0,99427,549,1,0,0,0,0,0,0,0,0,0,0,0
gene11567,0,1,2,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
gene11568,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,10,1,1,74,0
gene11569,1,0,7,0,1,6,10,9,1,12,0,0,0,0,0,0,0,0,0,0
gene11570,0,0,0,0,0,0,0,0,0,0,15,32,384,106,11,22,38,28,5,49
gene11571,0,0,0,0,0,0,11,4,807,0,1,3,2,7,0,0,3,0,4,0
gene11572,0,2,0,0,0,1,0,0,0,0,76,48,12,4,124,95,54,50,12,42
gene11573,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene11574,0,2,7,4,4,7,1,0,1,5,210,112,106,165,18,58,35,63,15,61
gene11575,1,48,0,66,3,60,4,10,21,0,0,0,2511,0,11,39626,1,1742,18,0
gene11576,94,0,4,14,65,27,46,24,4,6,0,0,8,11,2,6,5,2,5,1
gene11577,0,0,1,1,0,0,3,7,7,9,0,0,0,0,0,0,0,0,0,0
gene11578,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene11579,0,0,2,9,7,0,4,1,2,0,756,0,1,239,0,0,0,38,8,0
gene11580,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0
gene11581,0,1,2,6,0,1,0,4,2,1,49,3,994,130,0,18281,5416,0,0,0
gene11582,0,1,3,28,0,0,99,0,0,1,1,2,1,0,2,0,1,2,5,1
gene11583,0,0,0,0,0,0,0,0,0,0,1,0,124,32,49,0,0,0,46,25
gene11584,0,2806,0,106,0,234,1,746,41,29,1,0,2,4,0,18,27,9,13,0
gene11585,0,146,3529,404,0,0,75,0,0,1,0,0,0,0,0,0,0,0,0,19
gene11586,0,3977,324,0,1737,20,195,0,39484,78,0,50,583,184,0,0,730,0,1,0
gene11587,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gene11588,0,0,0,0,0,0,0,0,0,0,51,0,1,14,1808,0,0,3,0,0
gene11589,88,56,13,5,0,19,2,0,8,56,0,0,0,0,5,0,0,739655,4,0
gene11590,1,0,0,0,0,0,0,0,0,1,1,0,3,0,2,1,2,1,1,2
gene11591,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
gene11592,114,0,0,0,19,0,0,0,0,0,68,59,144,20,33,279,131,27,77,53
gene11593,0,0,0,0,0,0,0,0,0,0,22,0,6779,0,48,11677,13,2848,13,15266
gene11594,50,0,44,0,12,0,4,8,0,0,0,0,72,0,3,1,0,22,2,1
gene11595,0,1,55,7,67,0,126,272,35,255,1,1,0,2,0,0,0,0,0,1
gene11596,2,4,93,19,0,62,6,25,68,2,109,35,1,0,0,2,279,37,3,3
gene11597,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1
gene11598,0,0,1045,51439,0,0,0,0,0,0,83,0,1,1134,3131,0,0,581,0,264
gene11599,0,0,0,0,0,0,0,0,0,0,300,0,4307,1000,13,14,60320,0,4941,6033
gene11600,0,12,0,3,4,0,7,143,43,62,2,1,2,15,0,21,0,0,0,4
gene11601,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,32472,350,0
gene11602,35,351,59,461,146,353,140,166,443,592,0,0,0,0,0,0,0,0,0,0
gene11603,0,0,2,0,0,0,0,0,0,1,0,0,1,1,7,0,42,7,1,4
gene11604,0,25,0,1,0,0,168,0,0,0,0,2,3,1,0,0,4,0,2,0
gene11605,20968,7198,0,0,0,17765,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gene11606,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,7,0,1,24
gene11607,7,2,13,0,26,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11608,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11609,0,0,2,0,0,0,0,1,0,1,28,8,17,0,0,7,0,1,1,0
gene11610,561,427,2,4216,1485,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0
gene11611,66,0,0,0,0,0,0,15,11,0,36,0,3,4,10,13,1,4,33,16
gene11612,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,3,0,5,0
gene11613,32,9,0,120,1,59,1,9,0,116,0,0,0,0,353,812,10245,66,9,226
gene11614,62,0,0,40,37853,0,64472,60,11,0,0,0,0,0,0,0,0,0,0,0
gene11615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11616,0,0,0,0,423,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11617,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0
gene11618,218,0,85,165154,6649,0,619,31644,2671,551,0,0,8,0,0,0,0,0,12,9
gene11619,20,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0
gene11620,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,44,0,0,0,0
gene11621,175,0,0,1285,2,0,0,215,133,50,11,0,0,0,0,0,2,4,17,0
gene11622,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0
gene11623,0,39,84,0,0,0,0,7,0,10,2,0,1,0,0,4,1,0,0,0
gene11624,0,5686,0,0,7,0,0,0,0,0,0,0,11,1,6,3,0,3,2,2
gene11625,2,5,0,0,0,2,1,0,0,2,1,6,7,0,2,1,4,2,15,2
gene11626,1,66,8,0,0,0,0,0,0,4,2450,0,0,0,0,15,6126,5,0,124
gene11627,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
gene11628,0,0,0,0,0,0,0,0,0,0,0,270,0,7,270,677,35,539,28,32
gene11629,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene11630,0,0,1,3,0,2,0,0,4,0,1,0,0,2,1,0,1,0,2,0
gene11631,0,114,0,0,0,1,0,33,6,98,0,1674,0,0,0,0,0,0,0,0
gene11632,201,5,0,87,11,156,0,0,10,316,0,0,1,0,0,0,0,0,0,0
gene11633,0,0,0,0,1,0,335,0,0,0,288,67,142,284,92,83,31,361,293,139
gene11634,680,1490,1962,4530,1133,2935,1792,1025,29665,1985,0,0,0,0,0,0,0,0,0,0
gene11635,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,36,0,6,33,0
gene11636,0,0,2,0,0,0,0,62,0,0,95,156,3,0,3,3,11,3,7,19
gene11637,0,0,0,10,0,0,10,0,95,0,0,0,0,0,1,0,0,0,0,0
gene11638,0,56,0,29,1030,57,0,81881,0,0,0,0,7,1,168625,33,0,355,35564,2057
gene11639,0,5,16,0,1,2,0,2,0,6,5,8,7,4,30,4,30,2,7,1
gene11640,0,1,2,0,0,0,1,1,0,4,0,0,0,1,0,0,1,0,0,0
gene11641,39,161,11,0,0,0,261,62,211,50,0,0,0,0,0,0,0,0,0,0
gene11642,0,0,0,0,0,0,0,0,1,0,0,14,6,139,251,30,128,2,0,70
gene11643,0,164,1121,354,3,1,1165,440,0,0,1,0,0,0,1,0,0,40,0,0
gene11644,9,0,31,7,2,42,12,25,0,18,0,0,0,0,0,0,0,0,0,0
gene11645,0,10,4,0,1,1,0,0,27,14,0,0,0,0,0,0,0,0,0,0
gene11646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11647,185,2,0,0,42,0,0,0,73,37,0,0,0,0,0,0,0,0,0,0
gene11648,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1780,8,4260,1605,0,0
gene11649,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
gene11650,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,2,0,3,2
gene11651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gene11652,0,0,0,0,55,0,0,2,0,2533,2,1,3,1,1,1,0,1,0,2
gene11653,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
gene11654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
gene11655,0,0,0,341,0,0,3166,0,0,0,0,0,0,0,8,0,13,2,1,3
gene11656,0,12586,0,0,3610,39,0,0,0,53,0,10,3,18,25,3,0,1,7,0
gene11657,0,1,0,0,0,0,0,0,0,0,0,0,3531,11,0,139,0,0,1,2642
gene11658,0,0,0,0,0,0,1,0,0,0,14,93,193,0,38,0,0,0,3427,0
gene11659,48,60,80,36,49,81,58,55,25,61,0,0,1,3,0,4,0,1,1,0
gene11660,1,2,0,1,0,1,1,0,1,1,0,2,0,96,0,0,1427,755,0,11
gene11661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11662,0,0,181,0,0,0,2504,0,168,29997,1,13,7,0,3,0,1,3,0,0
gene11663,0,0,0,0,0,0,0,64,226,46,41,2287,19,166,21209,26,38,3556,10,878
gene11664,3,0,15,9,63,103,247,10,6,36,0,0,0,2,4,4,1,3,6,0
gene11665,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11666,3320,0,0,0,0,873,0,10567,8997,0,0,0,224,42,115,0,0,210,1,0
gene11667,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
gene11668,235,0,4,0,1356,1116,151,0,4,467,474,13,71,0,2310,2087,34,9,4,7
gene11669,6,42,10,18,7,3,11,30,0,17,0,0,0,0,0,1,0,0,0,0
gene11670,1,0,0,2,2,3,0,4,3,0,863,0,0,39454,0,277180,0,11828,0,14
gene11671,57,0,0,7,3,26,16,1,16,6,6,4,0,0,2,13,0,1,5,20
gene11672,211,71,0,21,125,0,80,6,1,0,0,0,0,0,0,0,1,0,0,0
gene11673,0,0,0,2434,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
gene11674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11675,0,40,6,0,224,0,1,2,0,4,0,0,0,0,1,0,0,0,0,0
gene11676,0,2,0,2,0,1,0,1,0,0,58,19,0,2,0,0,99,305,0,0
gene11677,0,23,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11679,0,0,0,0,0,0,0,0,0,0,0,0,0,42045,0,0,0,0,0,19
gene11680,171,3,453,0,0,124,6,0,0,797,0,0,0,0,1,0,2,0,2,0
gene11681,0,0,0,0,0,0,0,0,0,0,11796,3,0,2518,0,0,0,60,32690,3030
gene11682,2,2,1,0,9,13,31,1,1,4,11,21,3,1,1,2,7,1,1,0
gene11683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11684,14672,0,0,0,1220,0,30872,0,0,2,1,4,1,4,1,0,3,1,0,4
gene11685,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
gene11686,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene11687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496307,0,0
gene11688,0,0,0,190,131,0,0,104,0,0,0,8,20,25,0,0,0,0,0,3
gene11689,0,6,1,1,2,15,0,0,0,4,15,3,22,58,33,40,21,89,15,5
gene11690,1866,2167,311,178,406,400,1354,6,0,1071,2,1,2,1,0,0,2,2,0,0
gene11691,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2
gene11692,0,7,2,2,1,12,0,1,0,0,1,208,0,1,1230,2700,88,0,38,5
gene11693,0,0,0,0,6,0,0,0,3191,0,0,1,74892,0,0,77,0,0,0,6133
gene11694,0,0,625,27,7,0,641,571,551,0,1,0,0,1,0,0,1,0,0,0
gene11695,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
